"","age","min","max","mean","sd","total_count"
"1",1,82,127,106.166666666667,10.7284011646329,72
"2",2,104,175,139.098591549296,15.3680140268932,71
"3",3,128,192,156.692307692308,14.1850747672984,65
"4",4,136,213,173.245614035088,19.784807213901,57
"5",5,158,222,187.26,15.8059792354614,50
"6",6,166,213,191.894736842105,13.2109485177896,38
"7",7,157,211,193.285714285714,13.8207917904252,21
"8",8,171,242,196.8,18.6177931619787,10
"9",9,176,219,196.6,12.5450300030641,10
"10",10,207,207,207,NA,1
