"","age","min","max","mean","sd","total_count"
"1","3.5",151,155,152.333333333333,2.3094010767585,3
"2","4.5",162,218,180.5,25.475478405714,4
"3","5.5",171,227.5,194.2625,16.1892507633237,10
"4","6.5",196,220,205.5,9.41806774237688,6
"5","7.5",192,237,209.5,19.2613602842582,4
"6","8.5",194,194,194,NA,1
