age,min,max,mean,sd,total_count,sex,site
1.5,56,143,88,13,167,f,fed_past
2.5,71,149,102,15,117,f,fed_past
3.5,66,147,104,13,140,f,fed_past
4.5,80,144,108,13,158,f,fed_past
5.5,70,138,110,12,148,f,fed_past
6.5,78,142,111,12,109,f,fed_past
7.5,75,144,112,16,47,f,fed_past
8.5,84,146,114,15,37,f,fed_past
9.5,99,138,108,17,5,f,fed_past
10.5,90,122,109,9,19,f,fed_past
12.5,92,110,101,13,2,f,fed_past
