"birthsite","year_birth","year","animal_id","year_cap","age","weight","weightkg","points_total","mass_total","bcsin","bcscm","annual.cy","rain.site.cy","annual.by","rain.site.by"
"dmp",2007,2012,"270-2007-1-001",2012,5,205,93,13,30.25,142.25,361,15.8,"dmp_1",38.35,"dmp_3"
"dmp",2007,2017,"270-2007-1-006",2017,10,178,81,8,31.5,146,371,24.61,"dmp_2",38.35,"dmp_3"
"dmp",2007,2010,"270-2007-1-066",2010,3,164,75,17,32.5,150.5,382,31.8,"dmp_3",38.35,"dmp_3"
"dmp",2007,2010,"270-2007-1-056",2010,3,198,90,14,30.75,145.125,369,31.8,"dmp_3",38.35,"dmp_3"
"dmp",2007,2015,"270-2007-1-056",2015,8,172,78,20,35.375,194.375,494,29.1,"dmp_3",38.35,"dmp_3"
"dmp",2007,2016,"270-2007-1-066",2016,9,158,72,21,40.625,202.125,513,20.2,"dmp_2",38.35,"dmp_3"
"dmp",2007,2011,"270-2007-1-051",2011,4,202,92,11,31,162.5,413,14.1,"dmp_1",38.35,"dmp_3"
"dmp",2007,2014,"270-2007-1-006",2014,7,217,99,10,31.125,149.125,379,22.1,"dmp_2",38.35,"dmp_3"
"dmp",2007,2011,"270-2007-1-065",2011,4,223,101,13,32,170,432,14.1,"dmp_1",38.35,"dmp_3"
"dmp",2007,2014,"270-2007-1-066",2014,7,187,85,16,37.5,178.125,452,22.1,"dmp_2",38.35,"dmp_3"
"dmp",2007,2017,"270-2007-1-012",2017,10,189,86,9,30.25,132.625,337,24.61,"dmp_2",38.35,"dmp_3"
"dmp",2007,2016,"270-2007-1-001",2016,9,191,87,10,33.125,138.5,352,20.2,"dmp_2",38.35,"dmp_3"
"dmp",2007,2013,"270-2007-1-057",2013,6,183,83,10,28.625,144.25,366,34.5,"dmp_3",38.35,"dmp_3"
"dmp",2007,2016,"270-2007-1-056",2016,9,188,85,19,37.125,188,478,20.2,"dmp_2",38.35,"dmp_3"
"dmp",2007,2015,"270-2007-1-057",2015,8,162,74,9,28,145.75,370,29.1,"dmp_3",38.35,"dmp_3"
"dmp",2007,2010,"270-2007-1-007",2010,3,210,95,8,28.375,126,320,31.8,"dmp_3",38.35,"dmp_3"
"dmp",2007,2017,"270-2007-1-057",2017,10,132,60,9,26.625,124.5,316,24.61,"dmp_2",38.35,"dmp_3"
"dmp",2007,2012,"270-2007-1-056",2012,5,209,95,15,34,163.25,415,15.8,"dmp_1",38.35,"dmp_3"
"dmp",2007,2012,"270-2007-1-065",2012,5,233,106,15,32.125,174.125,442,15.8,"dmp_1",38.35,"dmp_3"
"dmp",2007,2013,"270-2007-1-006",2013,6,228,104,9,29.25,142.625,362,34.5,"dmp_3",38.35,"dmp_3"
"dmp",2007,2010,"270-2007-1-011",2010,3,190,86,8,25.625,104.75,266,31.8,"dmp_3",38.35,"dmp_3"
"dmp",2007,2014,"270-2007-1-011",2014,7,208,95,8,25.5,123.75,314,22.1,"dmp_2",38.35,"dmp_3"
"dmp",2007,2015,"270-2007-1-066",2015,8,171,78,21,38.625,189.75,482,29.1,"dmp_3",38.35,"dmp_3"
"dmp",2007,2011,"270-2007-1-066",2011,4,160,73,17,33.125,155.875,396,14.1,"dmp_1",38.35,"dmp_3"
"dmp",2007,2010,"270-2007-1-051",2010,3,208,95,12,32.375,155,394,31.8,"dmp_3",38.35,"dmp_3"
"dmp",2007,2011,"270-2007-1-012",2011,4,201,91,10,29.5,135.375,344,14.1,"dmp_1",38.35,"dmp_3"
"dmp",2007,2013,"270-2007-1-065",2013,6,232,105,18,33,170.125,432,34.5,"dmp_3",38.35,"dmp_3"
"dmp",2007,2016,"270-2007-1-051",2016,9,213,97,14,36,181,460,20.2,"dmp_2",38.35,"dmp_3"
"dmp",2007,2015,"270-2007-1-007",2015,8,206,94,8,31.625,139.375,354,29.1,"dmp_3",38.35,"dmp_3"
"dmp",2007,2011,"270-2007-1-007",2011,4,209,95,8,29.25,129.75,330,14.1,"dmp_1",38.35,"dmp_3"
"dmp",2007,2010,"270-2007-1-065",2010,3,215,98,12,30.375,140.375,357,31.8,"dmp_3",38.35,"dmp_3"
"dmp",2007,2014,"270-2007-1-007",2014,7,238,108,8,30.75,142.25,361,22.1,"dmp_2",38.35,"dmp_3"
"dmp",2007,2011,"270-2007-1-057",2011,4,170,77,11,26.625,126.25,321,14.1,"dmp_1",38.35,"dmp_3"
"dmp",2007,2013,"270-2007-1-011",2013,6,198,90,8,26,118.625,301,34.5,"dmp_3",38.35,"dmp_3"
"dmp",2007,2016,"270-2007-1-006",2016,9,191,87,8,33.25,149.5,380,20.2,"dmp_2",38.35,"dmp_3"
"dmp",2007,2012,"270-2007-1-057",2012,5,204,93,10,27.75,134.875,343,15.8,"dmp_1",38.35,"dmp_3"
"dmp",2007,2013,"270-2007-1-066",2013,6,178,81,16,35.875,167.125,424,34.5,"dmp_3",38.35,"dmp_3"
"dmp",2007,2012,"270-2007-1-006",2012,5,207,94,10,30.5,149.875,381,15.8,"dmp_1",38.35,"dmp_3"
"dmp",2008,2017,"270-2008-1-012",2017,9,173,79,11,31.875,143.125,364,24.61,"dmp_2",20.3,"dmp_2"
"dmp",2008,2018,"270-2008-1-018",2018,10,147,67,11,30.5,145.625,370,29.1,"dmp_3",20.3,"dmp_2"
"dmp",2008,2013,"270-2008-1-008",2013,5,178,81,13,33,177,450,34.5,"dmp_3",20.3,"dmp_2"
"dmp",2008,2014,"270-2008-1-011",2014,6,180,82,13,31.625,177.5,451,22.1,"dmp_2",20.3,"dmp_2"
"dmp",2008,2016,"270-2008-1-013",2016,8,146,66,13,32.375,180.875,459,20.2,"dmp_2",20.3,"dmp_2"
"dmp",2008,2011,"270-2008-1-012",2011,3,145,66,9,24.875,111.875,284,14.1,"dmp_1",20.3,"dmp_2"
"dmp",2008,2010,"270-2008-1-011",2010,2,140,64,11,22.375,105.75,269,31.8,"dmp_3",20.3,"dmp_2"
"dmp",2008,2009,"270-2008-1-008",2009,1,89,40,3,19.25,52,132,20.4,"dmp_2",20.3,"dmp_2"
"dmp",2008,2009,"270-2008-1-014",2009,1,116,53,5,16.25,50.875,129,20.4,"dmp_2",20.3,"dmp_2"
"dmp",2008,2012,"270-2008-1-022",2012,4,150,68,15,31,156.375,397,15.8,"dmp_1",20.3,"dmp_2"
"dmp",2008,2012,"270-2008-1-028",2012,4,153,70,13,28.875,141.125,358,15.8,"dmp_1",20.3,"dmp_2"
"dmp",2008,2009,"270-2008-1-011",2009,1,99,45,5,13.875,45.75,116,20.4,"dmp_2",20.3,"dmp_2"
"dmp",2008,2016,"270-2008-1-012",2016,8,NA,NA,12,33.75,167,424,20.2,"dmp_2",20.3,"dmp_2"
"dmp",2008,2012,"270-2008-1-008",2012,4,178,81,14,35,173.875,442,15.8,"dmp_1",20.3,"dmp_2"
"dmp",2008,2010,"270-2008-1-012",2010,2,137,62,9,21.75,93.5,237,31.8,"dmp_3",20.3,"dmp_2"
"dmp",2008,2009,"270-2008-1-019",2009,1,115,52,3,15.75,37.5,95,20.4,"dmp_2",20.3,"dmp_2"
"dmp",2008,2015,"270-2008-1-011",2015,7,175,80,14,34.625,185.125,470,29.1,"dmp_3",20.3,"dmp_2"
"dmp",2008,2014,"270-2008-1-022",2014,6,NA,NA,17,32.5,195.875,498,22.1,"dmp_2",20.3,"dmp_2"
"dmp",2008,2009,"270-2008-1-006",2009,1,110,50,7,18.25,71.875,183,20.4,"dmp_2",20.3,"dmp_2"
"dmp",2008,2010,"270-2008-1-019",2010,2,145,66,9,22.5,90,229,31.8,"dmp_3",20.3,"dmp_2"
"dmp",2008,2009,"270-2008-1-022",2009,1,108,49,6,15.5,49.25,125,20.4,"dmp_2",20.3,"dmp_2"
"dmp",2008,2014,"270-2008-1-019",2014,6,205,93,14,30.625,166,422,22.1,"dmp_2",20.3,"dmp_2"
"dmp",2008,2009,"270-2008-1-012",2009,1,98,45,2,15,29.25,74,20.4,"dmp_2",20.3,"dmp_2"
"dmp",2008,2010,"270-2008-1-017",2010,2,145,66,9,23.875,119.75,304,31.8,"dmp_3",20.3,"dmp_2"
"dmp",2008,2009,"270-2008-1-018",2009,1,99,45,2,17.5,40.125,102,20.4,"dmp_2",20.3,"dmp_2"
"dmp",2008,2011,"270-2008-1-011",2011,3,152,69,12,27,135,343,14.1,"dmp_1",20.3,"dmp_2"
"dmp",2008,2016,"270-2008-1-022",2016,8,161,73,15,33,176.25,448,20.2,"dmp_2",20.3,"dmp_2"
"dmp",2008,2012,"270-2008-1-017",2012,4,182,83,10,30.875,168.125,427,15.8,"dmp_1",20.3,"dmp_2"
"dmp",2008,2010,"270-2008-1-013",2010,2,143,65,10,24.25,114.375,291,31.8,"dmp_3",20.3,"dmp_2"
"dmp",2008,2010,"270-2008-1-014",2010,2,159,72,9,22.875,99.625,253,31.8,"dmp_3",20.3,"dmp_2"
"dmp",2008,2016,"270-2008-1-017",2016,8,186,85,15,36.125,193.125,491,20.2,"dmp_2",20.3,"dmp_2"
"dmp",2008,2019,"270-2008-1-017",2019,11,182,83,17,33.5,198.125,503,12,"dmp_1",20.3,"dmp_2"
"dmp",2008,2014,"270-2008-1-017",2014,6,196,89,13,32.125,186.75,474,22.1,"dmp_2",20.3,"dmp_2"
"dmp",2008,2012,"270-2008-1-014",2012,4,186,85,14,30,154.375,392,15.8,"dmp_1",20.3,"dmp_2"
"dmp",2008,2012,"270-2008-1-012",2012,4,174,79,11,28,131.875,335,15.8,"dmp_1",20.3,"dmp_2"
"dmp",2008,2013,"270-2008-1-011",2013,5,186,85,14,33,170.75,434,34.5,"dmp_3",20.3,"dmp_2"
"dmp",2008,2015,"270-2008-1-018",2015,7,182,83,10,33.25,169.875,431,29.1,"dmp_3",20.3,"dmp_2"
"dmp",2008,2015,"270-2008-1-022",2015,7,185,84,14,32.875,180.5,458,29.1,"dmp_3",20.3,"dmp_2"
"dmp",2008,2017,"270-2008-1-013",2017,9,148,67,10,29.75,155.25,394,24.61,"dmp_2",20.3,"dmp_2"
"dmp",2008,2009,"270-2008-1-017",2009,1,119,54,7,16.25,65,165,20.4,"dmp_2",20.3,"dmp_2"
"dmp",2008,2012,"270-2008-1-011",2012,4,175,80,15,31.375,157,399,15.8,"dmp_1",20.3,"dmp_2"
