"","year","pasture","live_weight","age"
"269",2021,"West Yana",75,"7.5"
"270",2021,"West Yana",84,"11.5"
"271",2021,"West Yana",92,"12.5"
"272",2021,"Yana",118,"6.5"
"273",2021,"Yana",125,"8.5"
"274",2021,"Yana",97,"4.5"
"275",2021,"Yana",95,"4.5"
"276",2021,"Yana",88,"6.5"
"277",2021,"Yana",55,"0.5"
"278",2021,"Yana",77,"1.5"
"279",2021,"Yana",103,"5.5"
"280",2021,"Yana",84,"2.5"
"281",2021,"SE Toro",91,"3.5"
"282",2021,"SE Toro",127,"7.5"
"283",2021,"Yana",92,"4.5"
"284",2021,"Yana",105,"4.5"
"285",2021,"Yana",84,"3.5"
"286",2021,"Yana",100,"3.5"
"287",2021,"Yana",86,"4.5"
"288",2021,"Yana",104,"5.5"
"289",2021,"Yana",110,"7.5"
"290",2021,"Yana",91,"5.5"
"291",2021,"Yana",80,"4.5"
"292",2021,"Yana",67,"1.5"
"293",2021,"Yana",92,"4.5"
"294",2021,"Yana",101,"4.5"
"295",2021,"Yana",93,"5.5"
"296",2021,"Yana",97,"5.5"
"297",2021,"Yana",100,"5.5"
"298",2021,"Yana",99,"5.5"
"299",2021,"Yana",108,"6.5"
"300",2021,"Yana",97,"5.5"
"301",2021,"Yana",109,"5.5"
"302",2021,"West Toro-Fed",104,"4.5"
"303",2021,"Yana",97,"5.5"
"304",2021,"Yana",97,"5.5"
"305",2021,"Yana",42,"0.5"
"306",2021,"East Toro",43,"0.5"
"307",2021,"Yana",103,"6.5"
"308",2021,"West Toro-Fed",91,"4.5"
"309",2021,"West Toro-Fed",106,"5.5"
"310",2021,"West Toro-Fed",52,"0.5"
"311",2021,"West Toro-Fed",93,"5.5"
"312",2021,"West Toro-Fed",92,"4.5"
"313",2021,"West Toro-Fed",84,"3.5"
"314",2021,"East Toro",93,"6.5"
"315",2021,"West Yana",93,"6.5"
"316",2019,"Yana",113,"4.5"
"317",2019,"SE Toro",144,"7.5"
"318",2019,"Yana",99,"4.5"
"319",2019,"Yana",96,"3.5"
"320",2019,"Yana",97,"5.5"
"321",2019,"Yana",108,"5.5"
"322",2019,"Yana",104,"5.5"
"323",2019,"Yana",100,"5.5"
"324",2019,"Yana",83,"2.5"
"325",2019,"Yana",73,"1.5"
"326",2019,"Yana",103,"4.5"
"327",2019,"Yana",116,"4.5"
"328",2019,"Yana",93,"7.5"
"329",2019,"Yana",77,"1.5"
"330",2019,"Yana",84,"1.5"
"331",2019,"Yana",103,"4.5"
"332",2019,"Yana",82,"1.5"
"333",2019,"Yana",118,"5.5"
"334",2019,"Yana",91,"6.5"
"335",2019,"Yana",88,"6.5"
"336",2019,"Yana",112,"4.5"
"337",2019,"Yana",92,"7.5"
"338",2019,"Yana",104,"4.5"
"339",2020,"East Yana",52,"0.5"
"340",2020,"East Yana",51,"0.5"
"341",2020,"East Yana",45,"0.5"
"342",2020,"East Toro",48,"0.5"
"343",2020,"East Yana",47,"0.5"
"344",2020,"East Yana",39,"0.5"
"345",2020,"East Yana",53,"0.5"
"346",2020,"East Yana",52,"0.5"
"347",2020,"East Yana",55,"0.5"
"348",2020,"East Yana",49,"0.5"
"349",2020,"East Yana",52,"0.5"
"350",2020,"East Yana",52,"0.5"
"351",2020,"East Yana",45,"0.5"
"352",2020,"East Yana",58,"0.5"
"353",2020,"Yana",113,"4.5"
"354",2020,"Yana",95,"5.5"
"355",2020,"Yana",103,"3.5"
"356",2020,"Yana",90,"4.5"
"357",2020,"Yana",131,"6.5"
"358",2020,"West Toro-Fed",51,"0.5"
"359",2020,"West Toro-Fed",55,"0.5"
"360",2020,"Yana",96,"2.5"
"361",2020,"Yana",122,"4.5"
"362",2020,"East Toro",43,"0.5"
"363",2020,"Yana",61,"1.5"
"364",2020,"Yana",100,"7.5"
"367",2020,"Yana",88,"3.5"
"368",2020,"SE Toro",86,"2.5"
"369",2020,"SE Toro",87,"2.5"
"370",2020,"East Yana",48,"0.5"
"371",2020,"East Yana",51,"0.5"
"372",2020,"East Yana",47,"0.5"
"373",2020,"SE Toro",47,"0.5"
"374",2020,"West Yana",49,"0.5"
"375",2020,"East Yana",51,"0.5"
"376",2020,"SE Toro",31,"0.5"
"377",2020,"West Toro-Fed",34,"0.5"
"378",2020,"Yana",45,"0.5"
"379",2020,"Yana",44,"0.5"
"380",2020,"Yana",52,"0.5"
"381",2020,"Yana",53,"0.5"
"382",2020,"Yana",43,"0.5"
"383",2020,"Yana",57,"0.5"
"384",2020,"Yana",42,"0.5"
"385",2020,"Yana",42,"0.5"
"386",2020,"Yana",48,"0.5"
"387",2020,"Yana",62,"0.5"
"388",2020,"Yana",105,"4.5"
"389",2020,"Yana",105,"4.5"
"390",2020,"Yana",47,"0.5"
"391",2020,"Yana",42,"0.5"
"392",2020,"SE Toro",64,"1.5"
"393",2020,"East Toro",117,"6.5"
"394",2020,"East Toro",99,"4.5"
"395",2020,"Yana",104,"5.5"
"396",2020,"SE Toro",80,"3.5"
"397",2020,"SE Toro",91,"7.5"
"398",2018,"SE Toro",114,"5.5"
"399",2018,"West Toro-Fed",106,"5.5"
"400",2018,"West Toro-Fed",113,"5.5"
"401",2018,"West Toro-Fed",118,"7.5"
"402",2018,"West Toro-Fed",125,"4.5"
"403",2018,"West Toro-Fed",108,"7.5"
"404",2018,"SE Toro",112,"5.5"
"405",2018,"SE Toro",58,"0.5"
"406",2018,"SE Toro",116,"3.5"
"407",2019,"Yana",127,"4.5"
"408",2019,"Yana",112,"3.5"
"409",2019,"Yana",117,"5.5"
"410",2019,"Yana",60,"0.5"
"411",2019,"Yana",105,"3.5"
"412",2019,"Yana",109,"4.5"
"413",2019,"Yana",105,"6.5"
"414",2019,"Yana",101,"3.5"
"415",2019,"Yana",119,"7.5"
"416",2019,"Yana",90,"2.5"
"417",2019,"Yana",66,"0.5"
"418",2019,"West Toro-Fed",103,"2.5"
"419",2019,"Yana",52,"0.5"
"420",2019,"East Yana",114,"4.5"
"421",2019,"West Toro-Fed",118,"6.5"
"422",2019,"West Toro-Fed",110,"3.5"
"423",2019,"Yana",125,"5.5"
"424",2019,"West Toro-Fed",112,"4.5"
"425",2019,"Yana",105,"5.5"
"426",2019,"Yana",49,"0.5"
"427",2019,"Yana",60,"0.5"
"428",2019,"Yana",60,"0.5"
"429",2019,"Yana",69,"0.5"
"430",2019,"SE Toro",123,"6.5"
"431",2019,"Yana",62,"0.5"
"432",2019,"Yana",109,"5.5"
"433",2019,"Yana",112,"5.5"
"434",2019,"Yana",113,"3.5"
"435",2019,"Yana",60,"0.5"
"436",2019,"Yana",95,"1.5"
"437",2019,"Yana",105,"5.5"
"438",2019,"Yana",58,"0.5"
"439",2019,"Yana",58,"0.5"
"440",2019,"Yana",110,"6.5"
"441",2019,"SE Toro",118,"5.5"
"442",2019,"Yana",106,"3.5"
"443",2019,"SE Toro",69,"0.5"
"444",2019,"SE Toro",57,"0.5"
"445",2019,"SE Toro",108,"6.5"
"447",2019,"Yana",86,"1.5"
"448",2019,"SE Toro",108,"4.5"
"449",2019,"SE Toro",121,"5.5"
"450",2017,"SE Toro",112,"10.5"
"451",2017,"West Yana",104,"6.5"
"452",2017,"West Yana",117,"10.5"
"453",2017,"SE Toro",115,"10.5"
"454",2017,"West Yana",95,"10.5"
"455",2017,"West Yana",121,"10.5"
"456",2017,"SE Toro",117,"10.5"
"457",2017,"SE Toro",108,"10.5"
"458",2017,"SE Toro",110,"10.5"
"459",2017,"SE Toro",113,"10.5"
"460",2017,"West Yana",106,"10.5"
"461",2017,"West Yana",122,"10.5"
"462",2017,"West Yana",48,"0.5"
"463",2017,"West Yana",42,"0.5"
"464",2017,"West Yana",51,"0.5"
"465",2017,"West Yana",56,"0.5"
"466",2017,"West Yana",50,"0.5"
"467",2017,"West Toro-Fed",108,"4.5"
"468",2017,"East Toro",118,"5.5"
"469",2017,"East Yana",64,"0.5"
"470",2017,"East Yana",55,"0.5"
"471",2017,"East Yana",55,"0.5"
"472",2017,"East Yana",60,"0.5"
"473",2017,"East Yana",60,"0.5"
"474",2017,"East Yana",57,"0.5"
"475",2017,"East Yana",57,"0.5"
"476",2017,"East Yana",61,"0.5"
"477",2017,"East Yana",58,"0.5"
"478",2017,"East Yana",57,"0.5"
"479",2017,"West Yana",46,"0.5"
"480",2017,"East Yana",62,"0.5"
"481",2017,"East Yana",55,"0.5"
"482",2017,"East Yana",62,"0.5"
"483",2017,"West Yana",43,"0.5"
"484",2017,"East Yana",60,"0.5"
"485",2017,"East Yana",44,"0.5"
"486",2017,"East Yana",56,"0.5"
"487",2017,"West Yana",56,"0.5"
"488",2018,"Yana",56,"0.5"
"489",2018,"Yana",51,"0.5"
"490",2018,"SE Toro",42,"0.5"
"491",2018,"SE Toro",48,"0.5"
"492",2018,"SE Toro",47,"0.5"
"493",2018,"SE Toro",38,"0.5"
"494",2018,"Yana",48,"0.5"
"495",2018,"Yana",58,"0.5"
"496",2018,"West Toro-Fed",60,"0.5"
"497",2017,"West Yana",65,"0.5"
"498",2017,"East Toro",53,"0.5"
"499",2017,"East Toro",49,"0.5"
"500",2017,"West Toro-Fed",34,"0.5"
"501",2017,"East Toro",48,"0.5"
"502",2017,"East Toro",70,"0.5"
"503",2017,"West Yana",47,"0.5"
"504",2017,"East Toro",77,"1.5"
"505",2017,"East Toro",77,"1.5"
"506",2017,"East Toro",47,"0.5"
"507",2017,"East Toro",44,"0.5"
"508",2017,"East Toro",56,"0.5"
"509",2017,"East Toro",48,"0.5"
"510",2017,"West Toro-Fed",48,"0.5"
"511",2017,"SE Toro",42,"0.5"
"512",2017,"SE Toro",55,"0.5"
"513",2017,"SE Toro",51,"0.5"
"514",2017,"SE Toro",49,"0.5"
"515",2017,"SE Toro",51,"0.5"
"516",2017,"SE Toro",45,"0.5"
"517",2017,"SE Toro",53,"0.5"
"518",2017,"SE Toro",51,"0.5"
"519",2017,"SE Toro",53,"0.5"
"520",2017,"SE Toro",47,"0.5"
"521",2017,"SE Toro",49,"0.5"
"522",2017,"SE Toro",56,"0.5"
"523",2017,"SE Toro",39,"0.5"
"524",2017,"West Toro-Fed",43,"0.5"
"525",2017,"SE Toro",48,"0.5"
"526",2017,"SE Toro",48,"0.5"
"527",2017,"SE Toro",34,"0.5"
"528",2017,"SE Toro",101,"3.5"
"529",2017,"SE Toro",51,"0.5"
"530",2017,"SE Toro",60,"0.5"
"531",2017,"SE Toro",52,"0.5"
"532",2017,"SE Toro",52,"0.5"
"533",2017,"SE Toro",43,"0.5"
"534",2017,"SE Toro",49,"0.5"
"535",2017,"SE Toro",51,"0.5"
"536",2017,"SE Toro",57,"0.5"
"537",2017,"SE Toro",42,"0.5"
"538",2017,"SE Toro",40,"0.5"
"539",2017,"SE Toro",53,"0.5"
"540",2017,"SE Toro",52,"0.5"
"541",2017,"SE Toro",49,"0.5"
"542",2017,"SE Toro",52,"0.5"
"543",2017,"SE Toro",44,"0.5"
"544",2017,"West Toro-Fed",45,"0.5"
"545",2017,"East Toro",58,"0.5"
"546",2017,"East Toro",38,"0.5"
"547",2017,"West Toro-Fed",44,"0.5"
"548",2017,"East Toro",48,"0.5"
"549",2017,"West Toro-Fed",43,"0.5"
"550",2017,"West Toro-Fed",35,"0.5"
"551",2017,"East Toro",106,"3.5"
"552",2017,"West Toro-Fed",44,"0.5"
"553",2017,"East Toro",39,"0.5"
"554",2017,"East Toro",49,"0.5"
"555",2017,"East Toro",35,"0.5"
"556",2017,"West Toro-Fed",36,"0.5"
"557",2017,"West Yana",59,"0.5"
"558",2017,"West Yana",56,"0.5"
"559",2017,"West Yana",94,"4.5"
"560",2017,"West Yana",50,"0.5"
"561",2017,"West Yana",66,"0.5"
"562",2017,"East Yana",51,"0.5"
"563",2017,"East Yana",56,"0.5"
"564",2017,"East Toro",52,"0.5"
"565",2017,"East Toro",49,"0.5"
"566",2017,"East Toro",53,"0.5"
"567",2017,"West Yana",103,"3.5"
"568",2017,"West Yana",59,"0.5"
"569",2017,"West Yana",55,"0.5"
"570",2017,"West Yana",103,"4.5"
"571",2017,"West Yana",103,"4.5"
"572",2017,"West Yana",46,"0.5"
"573",2017,"West Yana",56,"0.5"
"574",2017,"West Yana",117,"3.5"
"575",2017,"East Yana",57,"0.5"
"576",2017,"East Yana",51,"0.5"
"577",2017,"East Yana",101,"4.5"
"579",2017,"East Toro",44,"0.5"
"580",2016,"Yana",103,"3.5"
"581",2016,"Yana",103,"3.5"
"582",2016,"Yana",99,"3.5"
"583",2016,"Yana",90,"3.5"
"584",2016,"Yana",110,"4.5"
"585",2016,"Yana",117,"2.5"
"586",2016,"West Toro-Fed",57,"1.5"
"587",2016,"Yana",109,"6.5"
"588",2016,"West Yana",45,"0.5"
"589",2016,"Yana",114,"4.5"
"590",2016,"Yana",103,"3.5"
"591",2016,"Yana",88,"6.5"
"592",2016,"Yana",56,"0.5"
"593",2016,"West Toro-Fed",103,"4.5"
"594",2016,"West Toro-Fed",108,"6.5"
"595",2016,"West Toro-Fed",99,"5.5"
"596",2016,"West Toro-Fed",101,"4.5"
"597",2016,"West Toro-Fed",66,"1.5"
"598",2016,"West Toro-Fed",100,"3.5"
"599",2016,"West Toro-Fed",109,"4.5"
"600",2016,"Yana",121,"6.5"
"601",2016,"West Toro-Fed",78,"6.5"
"602",2016,"West Toro-Fed",88,"4.5"
"603",2016,"West Toro-Fed",58,"0.5"
"604",2016,"West Toro-Fed",121,"6.5"
"605",2016,"East Yana",68,"0.5"
"606",2016,"East Yana",58,"0.5"
"607",2016,"West Yana",44,"0.5"
"608",2016,"West Yana",52,"0.5"
"609",2016,"West Yana",37,"0.5"
"610",2016,"West Yana",47,"0.5"
"611",2016,"West Yana",108,"8.5"
"612",2016,"West Yana",122,"8.5"
"613",2016,"West Toro-Fed",106,"5.5"
"614",2016,"West Toro-Fed",116,"8.5"
"615",2016,"West Toro-Fed",103,"8.5"
"616",2016,"West Toro-Fed",112,"5.5"
"617",2016,"West Toro-Fed",112,"4.5"
"618",2016,"West Toro-Fed",101,"4.5"
"619",2016,"West Toro-Fed",86,"2.5"
"620",2016,"West Toro-Fed",108,"5.5"
"621",2016,"West Toro-Fed",84,"3.5"
"622",2016,"West Toro-Fed",86,"3.5"
"623",2016,"West Toro-Fed",106,"3.5"
"624",2016,"West Toro-Fed",108,"6.5"
"625",2016,"East Yana",52,"0.5"
"626",2016,"East Yana",62,"0.5"
"627",2016,"East Yana",55,"0.5"
"628",2016,"West Yana",53,"0.5"
"629",2016,"West Yana",45,"0.5"
"630",2016,"West Yana",54,"0.5"
"631",2016,"West Yana",53,"0.5"
"632",2016,"West Yana",122,"8.5"
"633",2016,"West Yana",106,"8.5"
"634",2016,"West Toro-Fed",110,"5.5"
"635",2016,"West Toro-Fed",79,"2.5"
"636",2016,"West Toro-Fed",99,"6.5"
"638",2016,"West Toro-Fed",104,"6.5"
"639",2016,"West Toro-Fed",112,"6.5"
"640",2016,"West Toro-Fed",96,"7.5"
"641",2016,"West Toro-Fed",99,"4.5"
"642",2016,"West Toro-Fed",84,"3.5"
"643",2016,"East Yana",74,"1.5"
"644",2016,"East Yana",48,"0.5"
"645",2016,"East Yana",45,"0.5"
"646",2016,"East Yana",57,"0.5"
"647",2016,"East Yana",54,"0.5"
"648",2016,"East Yana",92,"3.5"
"649",2016,"East Yana",61,"0.5"
"650",2016,"West Yana",41,"0.5"
"651",2016,"West Yana",52,"0.5"
"652",2016,"West Yana",52,"0.5"
"653",2016,"West Yana",49,"0.5"
"654",2016,"West Yana",39,"0.5"
"655",2016,"West Yana",50,"0.5"
"656",2016,"West Toro-Fed",73,"1.5"
"657",2016,"West Toro-Fed",91,"3.5"
"658",2016,"West Toro-Fed",82,"3.5"
"659",2016,"West Toro-Fed",101,"3.5"
"660",2016,"West Toro-Fed",105,"4.5"
"661",2016,"West Toro-Fed",116,"4.5"
"662",2016,"West Toro-Fed",100,"3.5"
"663",2016,"West Toro-Fed",114,"6.5"
"664",2016,"West Toro-Fed",58,"1.5"
"665",2016,"West Toro-Fed",105,"5.5"
"666",2016,"West Toro-Fed",101,"6.5"
"667",2016,"West Toro-Fed",80,"2.5"
"668",2016,"West Toro-Fed",104,"6.5"
"669",2016,"West Toro-Fed",36,"0.5"
"670",2016,"West Toro-Fed",71,"2.5"
"671",2016,"West Toro-Fed",92,"4.5"
"672",2016,"West Toro-Fed",91,"8.5"
"673",2016,"West Toro-Fed",93,"7.5"
"674",2016,"West Toro-Fed",70,"1.5"
"675",2016,"West Toro-Fed",84,"3.5"
"676",2016,"West Toro-Fed",96,"2.5"
"677",2016,"West Toro-Fed",92,"3.5"
"678",2016,"West Toro-Fed",104,"8.5"
"679",2016,"West Toro-Fed",55,"0.5"
"680",2016,"East Yana",97,"3.5"
"681",2016,"West Toro-Fed",110,"4.5"
"682",2016,"Yana",116,"4.5"
"683",2016,"East Toro",49,"0.5"
"684",2016,"SE Toro",40,"0.5"
"685",2016,"SE Toro",93,"2.5"
"686",2016,"SE Toro",55,"0.5"
"687",2016,"SE Toro",57,"0.5"
"688",2016,"SE Toro",43,"0.5"
