"animal_id","birthsite","year_birth","year_cap","age","weight.lb","weight.kg","antler.in","antler.cm","annual.by","annual.cy","by.rain.bin","cy.rain.bin","match"
"270-2009-1-024","dmp",2009,2010,1,121,55,48.5,123.19,20.4,31.8,"intermediate","wet","3"
"270-2008-1-017","dmp",2008,2010,2,145,65.91,119.75,304.16,20.3,31.8,"intermediate","wet","3"
"270-2007-1-011","dmp",2007,2010,3,190,86.36,104.75,266.06,38.35,31.8,"wet","wet","1"
"270-2009-1-010","dmp",2009,2010,1,123,55.91,65.75,167,20.4,31.8,"intermediate","wet","3"
"270-2009-1-013","dmp",2009,2010,1,112,50.91,43.875,111.44,20.4,31.8,"intermediate","wet","3"
"270-2010-1-025","dmp",2010,2011,1,110,50,25.125,63.82,31.8,14.1,"wet","dry","2"
"270-2009-1-012","dmp",2009,2011,2,155,70.45,96.75,245.74,20.4,14.1,"intermediate","dry","2"
"270-2010-1-039","dmp",2010,2011,1,104,47.27,50.5,128.27,31.8,14.1,"wet","dry","2"
"270-2010-1-028","dmp",2010,2011,1,121,55,38.625,98.11,31.8,14.1,"wet","dry","2"
"270-2007-1-065","dmp",2007,2011,4,223,101.36,170,431.8,38.35,14.1,"wet","dry","2"
"270-2010-1-004","dmp",2010,2011,1,99,45,50.25,127.64,31.8,14.1,"wet","dry","2"
"270-2009-1-009","dmp",2009,2011,2,149,67.73,107.875,274,20.4,14.1,"intermediate","dry","2"
"270-2010-1-006","dmp",2010,2011,1,101,45.91,53,134.62,31.8,14.1,"wet","dry","2"
"270-2010-1-001","dmp",2010,2011,1,90,40.91,36.875,93.66,31.8,14.1,"wet","dry","2"
"270-2010-1-038","dmp",2010,2011,1,105,47.73,59,149.86,31.8,14.1,"wet","dry","2"
"270-2010-1-009","dmp",2010,2011,1,101,45.91,56.625,143.83,31.8,14.1,"wet","dry","2"
"270-2007-1-007","dmp",2007,2011,4,209,95,129.75,329.56,38.35,14.1,"wet","dry","2"
"270-2009-1-020","dmp",2009,2011,2,146,66.36,118.625,301.31,20.4,14.1,"intermediate","dry","2"
"270-2010-1-019","dmp",2010,2011,1,96,43.64,33.5,85.09,31.8,14.1,"wet","dry","2"
"270-2010-1-005","dmp",2010,2011,1,108,49.09,52.5,133.35,31.8,14.1,"wet","dry","2"
"270-2010-1-013","dmp",2010,2011,1,109,49.55,62.125,157.8,31.8,14.1,"wet","dry","2"
"270-2009-1-011","dmp",2009,2011,2,137,62.27,95.125,241.62,20.4,14.1,"intermediate","dry","2"
"270-2008-1-012","dmp",2008,2011,3,145,65.91,111.875,284.16,20.3,14.1,"intermediate","dry","2"
"270-2007-1-057","dmp",2007,2011,4,170,77.27,126.25,320.68,38.35,14.1,"wet","dry","2"
"270-2009-1-023","dmp",2009,2011,2,136,61.82,110.125,279.72,20.4,14.1,"intermediate","dry","2"
"270-2009-1-024","dmp",2009,2011,2,151,68.64,99.5,252.73,20.4,14.1,"intermediate","dry","2"
