Unique Buck Code #,Date ,Capture Year,Birth Year,Captured ,Released,Sex,Age,Weight,Tag Color,Button Color,Tag # Rt,Tag # Left,Sire,DMP or Pasture,# Typical Points,# Total Points,Total Mass,B&C Score,Rounded B&C (=rounddown),Rounded B&C (=mround) to 5,True Spike (2 pts) or Forked As Yearling ,TP&W Spike (2 or 3 pts) or Forked As Yearling ,Pit Tag #,Deer Name,Ear Tag Radio Frequency,Comments,Gray Face,Roman Nose,Wrinkled Around Ears,Loose Skin Around Face,Loose Skin Around Neck,Loose Skin Around Chest,Circumference around the Face at the Eyes,Circumference at midpoint between tip of Nose and Eyes,Distance between a line running between the eyes and the Nose Tip,Ear tip to Ear tip,Stomach Girth:,Neck Circumference:,Vertical Height of Tarsal Glands:,Horizontal Width of Tarsal Glands,Staining on Tarsal Glands:,Ratio of Circum at Eyes to Dist Eyes-Nose Tip,Ratio Circum at Eyes to Circum Mid Point
270-2008-1-017,10/28/14,2014,2008,West Yana,West Yana,Male,6.5,196,Blue,Orange,17,17,Vince Young,DMP,11,13,32.125,186.750,180.000,185.000,Forked,Forked,985121002350420,The Prodigal Son,,,Gray,Straight,Slight Wrinkling,No,Yes,No,19.75,11.625,6.75,19.375,40,25.625,3,2.25,Light Stain, 2.93 , 1.70 
270-2008-1-018,10/29/12,2012,2008,West Yana,West Yana,Male,4.5,196,Blue,Orange,18,18,Vince Young,DMP,12,12,33.875,175.625,170.000,175.000,Spike,Spike,985121002338899,He's Done It Again,,,,,,,,,,,,,,,,,,,
270-2009-1-020,12/7/15,2015,2009,West Yana,West Yana,Male,6.5,196,Green,Yellow,20,20,Jr Jr,DMP,14,17,38.375,199.125,190.000,200.000,Forked,Forked,985121021183155,Cowboy,,,Slightly Grizzled,Slight Hump,Pronounced wrinkling,No,No,No,18.875,13.625,7.5,19.875,,25,2.125,2,Light Stain, 2.52 , 1.39 
270-2010-1-001,11/13/19,2019,2010,West Yana,West Yana,Male,9.5,196,Purple,Yellow,1,1,Jr Jr,DMP,11,14,35.125,170.125,170.000,170.000,Forked,Spike,,Look Twice,,,Slightly Grizzled,Slight Hump,Pronounced Wrinkling,Yes,Yes,Yes,18.125,13.375,7.125,22.75,37.375,23.375,2.375,2,Light Stain, 2.54 , 1.36 
270-2011-0-336,12/9/15,2015,2011,West Yana,West Yana,Male,4.5,196,White,Red,336,336,,Pasture,8,8,29.625,130.250,130.000,130.000,,,,,,,Slightly Grizzled,Straight,Slight Wrinkling,No,No,No,18.75,12.25,8.375,18.875,36,20.625,2.25,2,Light Stain, 2.24 , 1.53 
270-2011-1-215,11/16/21,2021,2011,West Yana,West Yana,Male,10.5,196,White,Green,215,215,True Grit,DMP,8,8,27.375,123.250,120.000,125.000,Spike,Spike,,,,,No Gray,Slight Hump,Pronounced Wrinkling,No,Yes,Yes,17.625,13.125,6.5,20.75,41.75,20.875,2.25,1.875,Heavy Stain, 2.71 , 1.34 
270-2012-0-330,11/17/20,2020,2012,West Yana,West Yana,Male,8.5,196,Yellow,Red,330,330,,Pasture,13,19,34.375,190.250,190.000,190.000,Forked,Forked,,Just Reboot It,,,Gray,Slight Hump,Pronounced Wrinkling,Yes,Yes,Yes,16.75,13.75,6.75,21,42.625,25.75,2.75,2,Heavy Stain, 2.48 , 1.22 
270-2012-0-341,11/17/20,2020,2012,West Yana,West Yana,Male,8.5,196,Yellow,Red,341,341,,Pasture,10,10,27.625,145.125,140.000,145.000,Spike,Spike,,,,,Slightly Grizzled,Straight,Slight Wrinkling,Yes,No,No,18,14,7.125,20.625,40.75,23.125,2.25,1.875,Heavy Stain, 2.53 , 1.29 
270-2012-1-230,11/11/19,2019,2012,West Yana,West Yana,Male,7.5,196,Yellow,Green,230,230,True Grit,DMP,12,14,36.000,182.875,180.000,185.000,,,,Yellow #230,,,No Gray,Straight,Slight Wrinkling,No,Yes,No,18.625,13.875,7.625,20.875,41.375,21.75,2.125,1.5,Light Stain, 2.44 , 1.34 
270-2012-1-236,11/27/18,2018,2012,West Yana,West Yana,Male,6.5,196,Yellow,Purple,236,236,The Prodigal Son,DMP,8,10,29.375,156.125,150.000,155.000,Forked,Forked,,,,,Gray,Straight,Pronounced Wrinkling,Yes,Yes,No,19.875,13.25,8,21.25,37.75,23.875,2.875,2.375,Light Stain, 2.48 , 1.50 
270-2014-0-454,11/17/20,2020,2014,West Yana,West Yana,Male,6.5,196,Blue,Red,454,454,,Pasture,10,12,35.375,174.625,170.000,175.000,Forked,Forked,982000364306885,,,,No Gray,Slight Hump,Pronounced Wrinkling,No,Yes,Yes,18.5,13.875,8.375,19.625,41.75,20.875,2.375,1.75,Light Stain, 2.21 , 1.33 
270-2014-1-438,11/17/20,2020,2014,West Yana,West Yana,Male,6.5,196,Blue,Purple,438,438,The Prodigal Son,DMP,12,12,31.500,159.500,150.000,160.000,Forked,Forked,,,,,Slightly Grizzled,Straight,Pronounced Wrinkling,No,No,Yes,18.5,13.75,7.625,20,40.75,20.75,2,1.625,Light Stain, 2.43 , 1.35 
270-2015-0-553,11/13/19,2019,2015,West Yana,West Yana,Male,4.5,196,Green,Red,553,553,,Pasture,8,8,27.375,130.875,130.000,130.000,Forked,Forked,982000364034486,,,,No Gray,Straight,Slight Wrinkling,No,Yes,No,18.5,13,7.625,18.25,40.625,21.375,2.25,1.75,Heavy Stain, 2.43 , 1.42 
270-2015-0-586,11/17/20,2020,2015,West Yana,West Yana,Male,5.5,196,Green,Red,586,586,,Pasture,10,17,33.125,153.500,150.000,155.000,,,982000364916899,,,,Slightly Grizzled ,Slight Hump,Pronounced Wrinkling,No,No,No,18.25,16.75,7,19,40.125,23.625,2.25,1.625,Heavy Stain, 2.61 , 1.09 
270-2015-0-586,11/17/21,2021,2015,West Yana,West Yana,Male,6.5,196,Green,Red,586,586,,Pasture,10,15,31.625,143.875,140.000,145.000,,,982000364916899,,,,Slightly Grizzled,Slight Hump,Pronounced Wrinkling,No,Yes,No,19,14.375,7.875,20.25,38,24.75,2.5,1.875,Heavy Stain, 2.41 , 1.32 
270-2016-0-676,11/15/22,2022,2016,West Yana,West Yana,Male,6.5,196,Purple,Red,676,676,,Pasture,10,10,36.000,157.625,150.000,160.000,Forked,Forked,,,,,Gray,Pronounced Hump,Pronounced Wrinkling,Yes,Yes,Yes,20,14.25,7.625,18.5,42.25,26.5,2,1.75,No Stain, 2.62 , 1.40 
90-2008-0-032,10/29/12,2012,2008,East Yana,East Yana,Male,4.5,196,Blue,Blue,32,32,,Pasture,12,12,31.000,142.500,140.000,145.000,Forked,Forked,985121021183972,,,"Capture mortality, broken hip",,,,,,,,,,,,,,,,,
90-2009-0-056,12/8/15,2015,2009,East Yana,East Yana,Male,6.5,196,Green,Green,56,56,,Pasture,9,9,35.250,170.875,170.000,170.000,Spike,Spike,985121012491175,,,,Slightly Grizzled,Slight Hump,Slight Wrinkling,Yes,No,No,20,14.125,8.125,20.5,32.75,25.5,2.75,2.25,Light Stain, 2.46 , 1.42 
90-2010-0-101,11/14/19,2019,2010,East Yana,East Yana,Male,9.5,196,Purple,Purple,101,101,,Pasture,10,11,32.875,151.875,150.000,150.000,Forked,Forked,,,,,No Gray,Slight Hump,Slight Wrinkling,No,No,Yes,18.25,13.875,7,19.125,43.875,23.25,2.5,2.125,Heavy Stain, 2.61 , 1.32 
90-2010-0-109,10/27/14,2014,2010,East Yana,East Yana,Male,4.5,196,Purple,Purple,109,109,,Pasture,8,8,27.500,131.625,130.000,130.000,,,,,,,Slightly Grizzled,Slight Hump,None,No,No,No,18.375,12.75,6.25,20.25,41.25,24.75,3,2,Light Stain, 2.94 , 1.44 
90-2010-0-109,11/26/18,2018,2010,East Yana,East Yana,Male,8.5,196,Purple,Purple,109,109,,Pasture,8,8,30.500,141.125,140.000,140.000,,,,,,,No Gray,Straight,Pronounced Wrinkling,No,Yes,Yes,19.25,13.5,7.5,22.625,37,24.5,2.625,2.625,Light Stain, 2.57 , 1.43 
90-2010-0-112,11/14/19,2019,2010,East Yana,East Yana,Male,9.5,196,Purple,Purple,112,112,,Pasture,9,9,29.000,149.125,140.000,150.000,,,,,,,Slightly Grizzled,Straight,Slight Wrinkling,No,Yes,No,19.375,15.375,7.125,21.875,43.875,24.125,3.125,2.5,Heavy Stain, 2.72 , 1.26 
90-2011-0-370,12/8/15,2015,2011,East Yana,East Yana,Male,4.5,196,White,White,370,370,,Pasture,8,8,28.750,121.625,120.000,120.000,,,,,,,Slightly Grizzled,Slight Hump,Pronounced wrinkling,No,No,Yes,20.25,14.5,7.5,20.75,34.625,27,2.625,2.25,Heavy Stain, 2.70 , 1.40 
90-2012-0-325,12/6/16,2016,2012,East Yana,East Yana,Male,4.5,196,Yellow,Yellow,325,325,,Pasture,8,8,32.250,135.500,130.000,135.000,,,,,,,Slightly Grizzled,Straight,Slight Wrinkling,No,No,No,19,10.5,8.25,20.5,40,24.25,2.5,2.5,Light Stain, 2.30 , 1.81 
90-2012-0-328,11/16/22,2022,2012,East Yana,East Yana,Male,10.5,196,Yellow,Yellow,328,328,,Pasture,10,10,31.250,156.750,150.000,155.000,Spike,Spike,,,,,Slightly Grizzled,Pronounced Hump,Pronounced Wrinkling,Yes,Yes,Yes,18.875,13.5,6.875,19.625,41.25,23.5,2.25,1.875,Heavy Stain, 2.75 , 1.40 
90-2012-0-350,12/6/16,2016,2012,East Yana,East Yana,Male,4.5,196,Yellow,Yellow,350,350,,Pasture,10,10,28.375,132.250,130.000,130.000,Forked,Forked,,,,,No Gray,Straight,Slight Wrinkling,No,No,No,18.75,11.625,7.875,21,,25.5,2.5,1.75,Light Stain, 2.38 , 1.61 
90-2013-0-273,11/28/18,2018,2013,East Yana,East Yana,Male,5.5,196,Red,Red,273,273,,Pasture,10,10,28.250,124.875,120.000,125.000,,,989001001238053,,,,Slightly Grizzled,Slight Hump,Pronounced Wrinkling,Yes,No,Yes,20.125,15.5,8.375,20.75,43.75,23.125,2.875,2.5,Heavy Stain, 2.40 , 1.30 
90-2015-0-564,11/14/22,2022,2015,East Yana,East Yana,Male,7.5,196,Green,Green,564,564,,Pasture,10,11,29.625,151.500,150.000,150.000,Forked,Forked,,,,,Gray,Straight,Slight Wrinkling,No,Yes,Yes,18.625,12.5,6.875,17.5,42.875,23.75,2.25,1.875,Heavy Stain, 2.71 , 1.49 
90-2015-0-578,11/14/22,2022,2015,East Yana,East Yana,Male,7.5,196,Green,Green,578,578,,Pasture,10,10,35.125,158.125,150.000,160.000,Forked,Forked,,,,,Gray,Slight Hump,Slight Wrinkling,Yes,Yes,Yes,17.875,10.875,7.25,19.875,41.5,24,2.5,1.375,Heavy Stain, 2.47 , 1.64 
90-2017-0-783,11/15/21,2021,2017,East Yana,East Yana,Male,4.5,196,White,White,783,783,,Pasture,10,10,29.875,138.125,130.000,140.000,Forked,Forked,982000419805411,,,,Slightly Grizzled,Slight Hump,Pronounced Wrinkling,No,Yes,Yes,18.25,13.875,7,19,43.5,22.625,2.25,1.625,Heavy Stain, 2.61 , 1.32 
270-2009-1-023,12/9/15,2015,2009,West Yana,West Yana,Male,6.5,197,Green,Yellow,23,23,Jr Jr,DMP,11,17,40.500,212.750,210.000,215.000,Forked,Forked,985121012316548,My Dad's A Hoe,,,No Gray,Straight,Pronounced wrinkling,No,No,No,19,13.875,7.5,21.125,,23.875,2.5,1.25,Light Stain, 2.53 , 1.37 
270-2010-1-010,10/28/14,2014,2010,West Yana,West Yana,Male,4.5,197,Purple,Yellow,10,10,Jr Jr,DMP,12,16,35.875,176.375,170.000,175.000,Forked,Forked,,,,,Slightly Grizzled,Straight,Slight Wrinkling,No,Yes,No,17,12.5,6.25,18.25,42.25,22.75,3,2,Heavy Stain, 2.72 , 1.36 
270-2010-1-021,12/7/16,2016,2010,West Yana,West Yana,Male,6.5,197,Purple,Blue,21,21,The Game,DMP,9,13,35.375,172.375,170.000,170.000,,,,Purple #21,,was Purple #00 changed back to original Purple #21,No Gray,Slight Hump,Pronounced Wrinkling,No,Yes,No,18.5,10.25,7.875,19.25,36.25,26.625,3.5,2.375,Light Stain, 2.35 , 1.80 
270-2011-0-338,12/7/16,2016,2011,West Yana,West Yana,Male,5.5,197,White,Red,338,338,,Pasture,10,24,36.875,208.125,200.000,210.000,Forked,Forked,,Worms,,,No Gray,Slight Hump,None,No,No,No,19,11.125,8,20.125,33.5,26.625,2.5,2.25,Light Stain, 2.38 , 1.71 
270-2011-1-215,11/19/19,2019,2011,West Yana,West Yana,Male,8.5,197,White,Green,215,215,True Grit,DMP,6,6,31.625,120.625,120.000,120.000,Spike,Spike,,,,,No Gray,Slight Hump,Pronounced Wrinkling,No,Yes,Yes,18.625,13.625,7.625,21.125,43.25,22.375,2.625,1.75,Heavy Stain, 2.44 , 1.37 
270-2011-1-242,12/9/15,2015,2011,West Yana,West Yana,Male,4.5,197,White,Green,242,242,True Grit,DMP,9,10,32.250,150.250,150.000,150.000,Spike,Spike,,,,,Slightly Grizzled,Straight,Slight Wrinkling,No,No,Yes,19.5,13.125,7.75,18.625,35.25,21.625,2.25,1.875,Light Stain, 2.52 , 1.49 
270-2011-1-260,12/5/16,2016,2011,West Yana,West Yana,Male,5.5,197,White,Green,260,260,True Grit,DMP,9,9,32.750,146.375,140.000,145.000,Forked,Forked,,,,,No Gray,Slight Hump,None,No,No,No,18,11.25,8.5,19,40.75,26.625,3.125,2,Light Stain, 2.12 , 1.60 
270-2012-0-342,12/4/17,2017,2012,West Yana,West Yana,Male,5.5,197,Yellow,Red,342,342,,Pasture,12,18,33.250,175.125,170.000,175.000,Forked,Forked,,Not Honorable Mention,,,Slightly Grizzled,Slight Hump,Pronounced Wrinkling,No,No,No,20.125,12.75,8.375,21.125,37.125,23.875,2.375,1.75,Heavy Stain, 2.40 , 1.58 
270-2012-1-248,12/5/17,2017,2012,West Yana,West Yana,Male,5.5,197,Yellow,Green,248,248,True Grit,DMP,9,9,29.375,152.125,150.000,150.000,Forked,Forked,,,,,Slightly Grizzled,Slight Hump,Pronounced Wrinkling,No,Yes,Yes,19.75,13.875,7.25,19.125,43.25,22.5,2.75,2.375,Light Stain, 2.72 , 1.42 
270-2012-1-248,11/11/19,2019,2012,West Yana,West Yana,Male,7.5,197,Yellow,Green,248,248,True Grit,DMP,9,9,29.875,146.000,140.000,145.000,Forked,Forked,,,,,No Gray,Slight Hump,Slight Wrinkling,No,Yes,Yes,18.25,14.125,7.375,20.375,43.375,21.75,2,1.625,Light Stain, 2.48 , 1.29 
270-2015-0-552,11/16/21,2021,2015,West Yana,West Yana,Male,6.5,197,Green,Red,552,552,,Pasture,10,10,28.000,115.750,110.000,115.000,,,982000190557019,,,,Slightly Grizzled,Straight,Pronounced Wrinkling,Yes,Yes,Yes,18.5,12.75,7.5,20.25,41.375,22.375,2,2,Heavy Stain, 2.47 , 1.45 
270-2015-0-553,11/15/22,2022,2015,West Yana,West Yana,Male,7.5,197,Green,Red,553,553,,Pasture,8,8,29.750,145.875,140.000,145.000,Forked,Forked,,,,,Gray,Slight Hump,Pronounced Wrinkling,Yes,Yes,Yes,19.125,14,7.375,18.375,39.5,26.25,2.75,2.375,Heavy Stain, 2.59 , 1.37 
270-2015-1-522,11/11/19,2019,2015,West Yana,West Yana,Male,4.5,197,Green,Orange,522,522,"Up, Out, & Back",DMP,10,10,30.625,139.500,130.000,140.000,Spike,Spike,982000190637610,,,,Slightly Grizzled,Slight Hump,Pronounced Wrinkling,No,No,No,19.875,13.625,7.375,19.25,40.625,23.375,2.25,1.375,Light Stain, 2.70 , 1.46 
270-2015-1-524,11/16/21,2021,2015,West Yana,West Yana,Male,6.5,197,Green,Orange,524,524,"Up, Out, & Back",DMP,11,11,31.875,152.375,150.000,150.000,,,982000364324501,,,,Gray,Slight Hump,Pronounced Wrinkling,No,No,Yes,18.875,12.5,6.5,20.875,44.25,23,2.25,1.75,Heavy Stain, 2.90 , 1.51 
270-2016-0-675,11/18/21,2021,2016,West Yana,West Yana,Male,5.5,197,Purple,Red,675,675,,Pasture,10,10,29.125,139.125,130.000,140.000,Spike,Spike,,,,,Gray,Pronounced Hump,Pronounced Wrinkling,Yes,No,Yes,19.875,15.875,7.75,17.875,43,21,2.125,2.125,Heavy Stain, 2.56 , 1.25 
90-2009-0-053,12/8/15,2015,2009,East Yana,East Yana,Male,6.5,197,Green,Green,53,53,,Pasture,8,8,29.750,149.000,140.000,150.000,,,,,,,No Gray,Slight Hump,Slight Wrinkling,Yes,No,Yes,19.25,13.75,7.5,20.5,34.375,25.125,3,2,Heavy Stain, 2.57 , 1.40 
90-2010-0-106,11/26/18,2018,2010,East Yana,East Yana,Male,8.5,197,Purple,Purple,106,106,,Pasture,13,14,33.875,157.750,150.000,160.000,,,,,,,No Gray,Straight,Slight Wrinkling,No,No,No,15.5,12,7.625,22,38,23.75,2.375,2,Light Stain, 2.03 , 1.29 
90-2010-0-111,12/6/16,2016,2010,East Yana,East Yana,Male,6.5,197,Purple,Purple,111,111,,Pasture,11,12,41.125,172.500,170.000,175.000,Forked,Forked,,The Penguin,,,No Gray,Straight,Slight Wrinkling,No,No,No,18.375,11,7.875,19.75,,25,3,2.375,Heavy Stain, 2.33 , 1.67 
90-2010-0-113,11/26/18,2018,2010,East Yana,East Yana,Male,8.5,197,Purple,Purple,113,113,,Pasture,11,14,41.625,200.375,200.000,200.000,Forked,Forked,,Deadpool,,,Slightly Grizzled,Slight Hump,Pronounced Wrinkling,No,Yes,No,20.5,14.375,9.125,20.625,46.375,26.75,3.375,2.375,Light Stain, 2.25 , 1.43 
90-2011-0-351,12/6/16,2016,2011,East Yana,East Yana,Male,5.5,197,White,White,351,351,,Pasture,8,8,29.875,129.125,120.000,130.000,Forked,Forked,,,,,No Gray,Straight,Slight Wrinkling,No,No,No,19.5,11,8.25,20.875,,25,2.25,1.75,No Stain, 2.36 , 1.77 
90-2011-0-351,12/13/17,2017,2011,East Yana,East Yana,Male,6.5,197,White,White,351,351,,Pasture,8,10,28.875,135.250,130.000,135.000,Forked,Forked,,,,,Slightly Grizzled,Straight,Pronounced Wrinkling,No,Yes,Yes,20.375,14,8.5,20.625,34.25,24.25,2.75,2,Heavy Stain, 2.40 , 1.46 
90-2011-0-355,12/8/16,2016,2011,East Yana,East Yana,Male,5.5,197,White,White,355,355,,Pasture,10,10,31.750,131.500,130.000,130.000,Spike,Spike,,,,,No Gray,Pronounced Hump,Pronounced Wrinkling,Yes,Yes,Yes,19.125,10.625,7.875,19.25,40,26.125,3,1.875,Heavy Stain, 2.43 , 1.80 
90-2012-0-325,12/13/17,2017,2012,East Yana,East Yana,Male,5.5,197,Yellow,Yellow,325,325,,Pasture,8,8,30.500,138.375,130.000,140.000,,,,,,,Slightly Grizzled,Straight,Slight Wrinkling,No,Yes,No,20.625,13.625,8.25,22,32.125,25,2.75,2.25,Light Stain, 2.50 , 1.51 
90-2012-0-328,11/15/21,2021,2012,East Yana,East Yana,Male,9.5,197,Yellow,Yellow,328,328,,Pasture,10,10,32.125,165.375,160.000,165.000,Spike,Spike,,Yellow #328,,,Gray,Slight Hump,Pronounced Wrinkling,No,Yes,Yes,17.125,12.25,6.875,18.75,40.5,19.5,2.5,2,Heavy Stain, 2.49 , 1.40 
90-2014-0-457,11/26/18,2018,2014,East Yana,East Yana,Male,4.5,197,Blue,Blue,457,457,,Pasture,12,13,35.125,161.500,160.000,160.000,Forked,Spike,982000363983827,,,,Slightly Grizzled,Straight,Pronounced Wrinkling,No,Yes,No,18.375,13.375,7.5,20.5,38.75,24,3.375,2.625,Heavy Stain, 2.45 , 1.37 
90-2015-0-574,11/14/19,2019,2015,East Yana,East Yana,Male,4.5,197,Green,Green,574,574,,Pasture,10,11,28.250,131.750,130.000,130.000,Forked,Forked,982000364954508,,,,Slightly Grizzled,Pronounced Hump,Pronounced Wrinkling,No,Yes,No,18.5,14,7.5,20,41.75,21.5,2,1.75,Light Stain, 2.47 , 1.32 
90-2017-0-777,11/15/21,2021,2017,East Yana,East Yana,Male,4.5,197,White,White,777,777,,Pasture,8,8,26.500,123.500,120.000,125.000,Spike,Spike,982000419806053,,,,Slightly Grizzled,Straight,Pronounced Wrinkling,No,No,Yes,17.875,12.375,6.875,19.375,42.375,22.375,2,1.75,Light Stain, 2.60 , 1.44 
90-2018-0-853,11/14/22,2022,2018,East Yana,East Yana,Male,4.5,197,Yellow,Yellow,853,853,,Pasture,10,10,30.875,130.000,130.000,130.000,Spike,Spike,,,,,Slightly Grizzled,Pronounced Hump,Slight Wrinkling,Yes,Yes,Yes,20.25,13.75,7.25,20.25,41.75,25.375,1.5,1.5,Heavy Stain, 2.79 , 1.47 
